observableId	observableName	observableFormula	observableTransformation	noiseFormula	noiseDistribution
obs_y1	Observable obs_y1	Tr	lin	noiseParameter1 * obs_y1	normal
obs_y2	Observable obs_y2	N	lin	noiseParameter1 * obs_y2	normal
