simulationConditionId	measurement	time	observableId	observableParameters	noiseParameters	datasetId	replicateId
condition1	2.0009934283060224	0.0	obs_y1		noiseParameter1	dataset1	0
condition1	2.010265388952698	0.005	obs_y1		noiseParameter1	dataset1	0
condition1	2.0224828448298457	0.01	obs_y1		noiseParameter1	dataset1	0
condition1	2.0349861480771234	0.015	obs_y1		noiseParameter1	dataset1	0
condition1	2.04221874439825	0.02	obs_y1		noiseParameter1	dataset1	0
condition1	2.0531099171030514	0.025	obs_y1		noiseParameter1	dataset1	0
condition1	2.067833377835604	0.03	obs_y1		noiseParameter1	dataset1	0
condition1	2.0772370827940336	0.035	obs_y1		noiseParameter1	dataset1	0
condition1	2.08582498669296	0.04	obs_y1		noiseParameter1	dataset1	0
condition1	2.0991932803480053	0.045	obs_y1		noiseParameter1	dataset1	0
condition1	2.1084178499148543	0.05	obs_y1		noiseParameter1	dataset1	0
condition1	2.119838628984734	0.055	obs_y1		noiseParameter1	dataset1	0
condition1	2.1328642586122046	0.06	obs_y1		noiseParameter1	dataset1	0
condition1	2.139859645933919	0.065	obs_y1		noiseParameter1	dataset1	0
condition1	2.151948434663602	0.07	obs_y1		noiseParameter1	dataset1	0
condition1	2.166245405794479	0.075	obs_y1		noiseParameter1	dataset1	0
condition1	2.177146835158814	0.08	obs_y1		noiseParameter1	dataset1	0
condition1	2.192025858827591	0.085	obs_y1		noiseParameter1	dataset1	0
condition1	2.2014130734494177	0.09	obs_y1		noiseParameter1	dataset1	0
condition1	2.212455275923357	0.095	obs_y1		noiseParameter1	dataset1	0
condition1	2.2311145004716084	0.1	obs_y1		noiseParameter1	dataset1	0
condition1	2.2397031852144114	0.105	obs_y1		noiseParameter1	dataset1	0
condition1	2.2528160600862153	0.11	obs_y1		noiseParameter1	dataset1	0
condition1	2.261987251378638	0.115	obs_y1		noiseParameter1	dataset1	0
condition1	2.2766214003722243	0.12	obs_y1		noiseParameter1	dataset1	0
condition1	2.2908589225667955	0.125	obs_y1		noiseParameter1	dataset1	0
condition1	2.3007940556197237	0.13	obs_y1		noiseParameter1	dataset1	0
condition1	2.317253535594902	0.135	obs_y1		noiseParameter1	dataset1	0
condition1	2.3280200671956788	0.14	obs_y1		noiseParameter1	dataset1	0
condition1	2.3418702531022806	0.145	obs_y1		noiseParameter1	dataset1	0
condition1	2.3543693099362755	0.15	obs_y1		noiseParameter1	dataset1	0
condition1	2.3735076633301326	0.155	obs_y1		noiseParameter1	dataset1	0
condition1	2.3825196494363214	0.16	obs_y1		noiseParameter1	dataset1	0
condition1	2.393550144111945	0.165	obs_y1		noiseParameter1	dataset1	0
condition1	2.411700073643516	0.17	obs_y1		noiseParameter1	dataset1	0
condition1	2.420494015611538	0.17500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	2.4377981467662	0.18	obs_y1		noiseParameter1	dataset1	0
condition1	2.4464240938364785	0.185	obs_y1		noiseParameter1	dataset1	0
condition1	2.4619946347176325	0.19	obs_y1		noiseParameter1	dataset1	0
condition1	2.4799015064374084	0.195	obs_y1		noiseParameter1	dataset1	0
condition1	2.495502968641088	0.2	obs_y1		noiseParameter1	dataset1	0
condition1	2.5084434822714865	0.20500000000000002	obs_y1		noiseParameter1	dataset1	0
condition1	2.522178791354002	0.21	obs_y1		noiseParameter1	dataset1	0
condition1	2.5362685310707778	0.215	obs_y1		noiseParameter1	dataset1	0
condition1	2.5479272265747843	0.22	obs_y1		noiseParameter1	dataset1	0
condition1	2.5646261340615464	0.225	obs_y1		noiseParameter1	dataset1	0
condition1	2.5801647371564442	0.23	obs_y1		noiseParameter1	dataset1	0
condition1	2.5990857587976817	0.23500000000000001	obs_y1		noiseParameter1	dataset1	0
condition1	2.6123333311904067	0.24	obs_y1		noiseParameter1	dataset1	0
condition1	2.622008094062159	0.245	obs_y1		noiseParameter1	dataset1	0
condition1	2.642806733926863	0.25	obs_y1		noiseParameter1	dataset1	0
condition1	2.6563478581462805	0.255	obs_y1		noiseParameter1	dataset1	0
condition1	2.6710920555723003	0.26	obs_y1		noiseParameter1	dataset1	0
condition1	2.690186251913445	0.265	obs_y1		noiseParameter1	dataset1	0
condition1	2.707080794825759	0.27	obs_y1		noiseParameter1	dataset1	0
condition1	2.7226879409634535	0.275	obs_y1		noiseParameter1	dataset1	0
condition1	2.7338321689239087	0.28	obs_y1		noiseParameter1	dataset1	0
condition1	2.751363142341809	0.28500000000000003	obs_y1		noiseParameter1	dataset1	0
condition1	2.7693296532194123	0.29	obs_y1		noiseParameter1	dataset1	0
condition1	2.787440764221074	0.295	obs_y1		noiseParameter1	dataset1	0
condition1	2.7998071145458505	0.3	obs_y1		noiseParameter1	dataset1	0
condition1	2.817165599284629	0.305	obs_y1		noiseParameter1	dataset1	0
condition1	2.8312070440227908	0.31	obs_y1		noiseParameter1	dataset1	0
condition1	2.847701488859971	0.315	obs_y1		noiseParameter1	dataset1	0
condition1	2.8703272547603684	0.32	obs_y1		noiseParameter1	dataset1	0
condition1	2.8889108127651624	0.325	obs_y1		noiseParameter1	dataset1	0
condition1	2.9019069257474968	0.33	obs_y1		noiseParameter1	dataset1	0
condition1	2.9222806417195586	0.335	obs_y1		noiseParameter1	dataset1	0
condition1	2.937765799024379	0.34	obs_y1		noiseParameter1	dataset1	0
condition1	2.952269032625697	0.34500000000000003	obs_y1		noiseParameter1	dataset1	0
condition1	2.9728386122769437	0.35000000000000003	obs_y1		noiseParameter1	dataset1	0
condition1	2.994071610074541	0.355	obs_y1		noiseParameter1	dataset1	0
condition1	3.007194778190204	0.36	obs_y1		noiseParameter1	dataset1	0
condition1	3.0299850593126894	0.365	obs_y1		noiseParameter1	dataset1	0
condition1	3.03534877021081	0.37	obs_y1		noiseParameter1	dataset1	0
condition1	3.0640289209383997	0.375	obs_y1		noiseParameter1	dataset1	0
condition1	3.0800936879092045	0.38	obs_y1		noiseParameter1	dataset1	0
condition1	3.0973344206443234	0.385	obs_y1		noiseParameter1	dataset1	0
condition1	3.117104832124118	0.39	obs_y1		noiseParameter1	dataset1	0
condition1	3.12926809318561	0.395	obs_y1		noiseParameter1	dataset1	0
