func,n,noise,interp,order,eval_type,nrmse,n_support
sin(2πx),51,0.0,agp_robust,0,interior,9.494023341921841e-7,-1
sin(2πx),51,0.0,aaad,0,interior,6.907243337753625e-16,11
sin(2πx),51,0.0,s2_aaa_mle,0,interior,6.266691345177127e-14,10
sin(2πx),51,0.0,agp_robust,1,interior,4.423980087577232e-6,-1
sin(2πx),51,0.0,aaad,1,interior,5.4015937487566105e-15,11
sin(2πx),51,0.0,s2_aaa_mle,1,interior,5.04607094652679e-13,10
sin(2πx),51,0.0,agp_robust,2,interior,1.6458313651497197e-5,-1
sin(2πx),51,0.0,aaad,2,interior,1.463080455846453e-13,11
sin(2πx),51,0.0,s2_aaa_mle,2,interior,3.34523779469316e-12,10
sin(2πx),51,0.0,agp_robust,3,interior,9.71787838064855e-5,-1
sin(2πx),51,0.0,aaad,3,interior,4.715247332051364e-10,11
sin(2πx),51,0.0,s2_aaa_mle,3,interior,6.493995723466925e-10,10
sin(2πx),51,0.0,agp_robust,4,interior,0.00026915223453068354,-1
sin(2πx),51,0.0,aaad,4,interior,3.683841135077852e-9,11
sin(2πx),51,0.0,s2_aaa_mle,4,interior,4.9362177425243186e-8,10
sin(2πx),51,0.0,agp_robust,5,interior,0.0025747654928356184,-1
sin(2πx),51,0.0,aaad,5,interior,3.891503752646563e-6,11
sin(2πx),51,0.0,s2_aaa_mle,5,interior,4.362335570645576e-5,10
sin(2πx),51,0.0,agp_robust,6,interior,0.00977845973960758,-1
sin(2πx),51,0.0,aaad,6,interior,0.01082949946392812,11
sin(2πx),51,0.0,s2_aaa_mle,6,interior,0.0015873937625825133,10
sin(2πx),51,0.0,agp_robust,7,interior,0.031405698869250286,-1
sin(2πx),51,0.0,aaad,7,interior,11.038431901210457,11
sin(2πx),51,0.0,s2_aaa_mle,7,interior,18.177622533313468,10
sin(2πx),51,0.0,agp_robust,0,on_data,9.454319858836253e-7,-1
sin(2πx),51,0.0,aaad,0,on_data,7.097592349636158e-16,11
sin(2πx),51,0.0,s2_aaa_mle,0,on_data,6.279119199852945e-14,10
