func,n,noise,strategy,order,nrmse,n_support
sin2pix,101,0.0,baseline,0,5.0374636541638166e-11,53
sin2pix,101,0.0,baseline,1,3.917145290768438e-9,53
sin2pix,101,0.0,baseline,2,9.694370001002524e-7,53
sin2pix,101,0.0,baseline,3,0.0004349637831666801,53
sin2pix,101,0.0,baseline,4,0.235373335363594,53
sin2pix,101,0.0,baseline,5,179.22688514020112,53
sin2pix,101,0.0,baseline,6,145681.36015768134,53
sin2pix,101,0.0,baseline,7,1.5535261756596935e8,53
sin2pix,101,0.0,adapt_k0.01,0,9.064459528769108e-10,8
sin2pix,101,0.0,adapt_k0.01,1,5.020272170729091e-9,8
sin2pix,101,0.0,adapt_k0.01,2,6.689909586120846e-8,8
sin2pix,101,0.0,adapt_k0.01,3,3.768477646429972e-7,8
sin2pix,101,0.0,adapt_k0.01,4,4.630396097297239e-6,8
sin2pix,101,0.0,adapt_k0.01,5,8.266035928538128e-5,8
sin2pix,101,0.0,adapt_k0.01,6,0.000665707163589096,8
sin2pix,101,0.0,adapt_k0.01,7,0.008011138942730934,8
sin2pix,101,0.0,adapt_k0.1,0,9.064459528769108e-10,8
sin2pix,101,0.0,adapt_k0.1,1,5.020272170729091e-9,8
sin2pix,101,0.0,adapt_k0.1,2,6.689909586120846e-8,8
sin2pix,101,0.0,adapt_k0.1,3,3.768477646429972e-7,8
sin2pix,101,0.0,adapt_k0.1,4,4.630396097297239e-6,8
sin2pix,101,0.0,adapt_k0.1,5,8.266035928538128e-5,8
sin2pix,101,0.0,adapt_k0.1,6,0.000665707163589096,8
sin2pix,101,0.0,adapt_k0.1,7,0.008011138942730934,8
sin2pix,101,0.0,adapt_k1.0,0,1.6750698323943047e-7,7
sin2pix,101,0.0,adapt_k1.0,1,1.3546814340569832e-6,7
sin2pix,101,0.0,adapt_k1.0,2,7.939402937391201e-6,7
sin2pix,101,0.0,adapt_k1.0,3,5.631841526604167e-5,7
sin2pix,101,0.0,adapt_k1.0,4,0.0008376799874105573,7
sin2pix,101,0.0,adapt_k1.0,5,0.006687387123934359,7
sin2pix,101,0.0,adapt_k1.0,6,0.029152584923053566,7
sin2pix,101,0.0,adapt_k1.0,7,0.09096597638534372,7
sin2pix,101,0.0,adapt_k10,0,1.6750698323943047e-7,7
sin2pix,101,0.0,adapt_k10,1,1.3546814340569832e-6,7
sin2pix,101,0.0,adapt_k10,2,7.939402937391201e-6,7
sin2pix,101,0.0,adapt_k10,3,5.631841526604167e-5,7
sin2pix,101,0.0,adapt_k10,4,0.0008376799874105573,7
sin2pix,101,0.0,adapt_k10,5,0.006687387123934359,7
sin2pix,101,0.0,adapt_k10,6,0.029152584923053566,7
sin2pix,101,0.0,adapt_k10,7,0.09096597638534372,7
sin2pix,101,0.0,adapt_k100,0,5.24779209555087e-6,6
sin2pix,101,0.0,adapt_k100,1,3.334410296214887e-5,6
sin2pix,101,0.0,adapt_k100,2,0.0001270662452844157,6
sin2pix,101,0.0,adapt_k100,3,0.001671013612490072,6
sin2pix,101,0.0,adapt_k100,4,0.011611459043026916,6
sin2pix,101,0.0,adapt_k100,5,0.052260297280849764,6
sin2pix,101,0.0,adapt_k100,6,0.1281983464803482,6
sin2pix,101,0.0,adapt_k100,7,0.2039580948464465,6
sin2pix,101,0.0,mmax10,0,4.247280277659786e-11,10
sin2pix,101,0.0,mmax10,1,2.8090663042873526e-10,10
sin2pix,101,0.0,mmax10,2,2.9165564360421533e-9,10
sin2pix,101,0.0,mmax10,3,3.34573560537934e-8,10
sin2pix,101,0.0,mmax10,4,1.6652080413884155e-7,10
sin2pix,101,0.0,mmax10,5,5.050824748689093e-6,10
sin2pix,101,0.0,mmax10,6,0.00019144377415709665,10
sin2pix,101,0.0,mmax10,7,0.05286940185235024,10
sin2pix,101,0.0,mmax15,0,6.592118393103751e-11,10
sin2pix,101,0.0,mmax15,1,4.1804978356854073e-10,10
