model	category	status	classification	runtime_seconds	template_status	n_equations	n_variables	n_effective_eqs	n_effective_vars	structural_fix_count	error_type	message
bilinear_system_sinusoidal	hard	error	other_error	1.25							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(x1(t))   After substitution: Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.2554376296370393,0.1445413629115806,0.975160807255549,0.0,0.0,0.0,0.0,0.0,0.0,0.3908975144134267,0.2040040664727416) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.3297023693480245,0.0,0.0,0.0,0.0,1.0,0.0,0.1445413629115806,0.0,0.02723919204536207,0.0)(1.0 + 0.5sin(2.0t))   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 11   Number of derivative levels in obs_rhs: 11   Dict keys (first 20): Symbolics.Num[a11, a12, a21, a22, b1, b2, n1, n2, x1(t), x2(t), Differential(t, 1)(x1(t)), Differential(t, 1)(x2(t)), Differential(t, 2)(x1(t)), Differential(t, 2)(x2(t)), Differential(t, 3)(x1(t)), Differential(t, 3)(x2(t)), Differential(t, 4)(x1(t)), Differential(t, 4)(x2(t)), Differential(t, 5)(x1(t)), Differential(t, 5)(x2(t))]
biohydrogenation	hard	ok	determined_template	144.8	determined	25	25	25	25	1		
boost_converter	limitations	ok	determined_template	2.55	determined	14	14	14	14	2		
boost_converter_identifiable	hard	ok	determined_template	3.83	determined	15	15	15	15	0		
boost_converter_sinusoidal	hard	error	other_error	1.43							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(vC(t))   After substitution: (-Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.08557075780496452,-0.0,-0.0,-0.1529034780128167,-0.0,1.7868660034695376) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.8885011616563591,0.0,0.0,0.0,1.0,0.0)(0.5 - 0.1sin(100.0t))) / Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.5398777752066325,0.0,1.0,0.0,0.0,0.0)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 6   Number of derivative levels in obs_rhs: 6   Dict keys (first 20): Symbolics.Num[L, C_cap, R_load, iL(t), vC(t), Differential(t, 1)(iL(t)), Differential(t, 1)(vC(t)), Differential(t, 2)(iL(t)), Differential(t, 2)(vC(t)), Differential(t, 3)(iL(t)), Differential(t, 3)(vC(t)), Differential(t, 4)(iL(t)), Differential(t, 4)(vC(t)), Differential(t, 5)(iL(t)), Differential(t, 5)(vC(t)), Differential(t, 6)(iL(t)), Differential(t, 6)(vC(t))]
brusselator	hard	ok	determined_template	2.0	determined	9	9	9	9	0		
cart_pole	limitations	error	other_error	80.16							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 2)(x(t))   After substitution: (Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.05188620760128049,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.9501370491210404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.03542810518128572,0.0,0.0,0.041196109949084965,0.0,0.0,0.0,0.0,0.0,0.34909997422397177) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.29515833770590283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0)cos(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.4147554856585772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0)))*sin(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.4147554856585772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0))) / (Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.8294767950592853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0) + Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.9501370491210404,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)(sin(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.4147554856585772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0))^2))   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=3, j=1   Number of derivative levels in states_lhs: 10   Number of derivative levels in obs_rhs: 10   Dict keys (first 20): Symbolics.Num[M, m, l, g, F, x(t), v(t), theta(t), omega(t), Differential(t, 1)(x(t)), Differential(t, 1)(v(t)), Differential(t, 1)(theta(t)), Differential(t, 1)(omega(t)), Differential(t, 2)(x(t)), Differential(t, 2)(v(t)), Differential(t, 2)(theta(t)), Differential(t, 2)(omega(t)), Differential(t, 3)(x(t)), Differential(t, 3)(v(t)), Differential(t, 3)(theta(t))]
cart_pole_linear	hard	ok	determined_template	1.61	determined	22	22	22	22	1		
crauste	limitations	ok	determined_template	12.82	determined	43	43	43	43	0		
crauste_corrected	hard	ok	determined_template	10.18	determined	43	43	43	43	0		
