model	category	status	classification	runtime_seconds	template_status	n_equations	n_variables	n_effective_eqs	n_effective_vars	structural_fix_count	error_type	message
seir	limitations	ok	determined_template	6.86	determined	26	26	26	26	0		
simple	standard	ok	determined_template	0.75	determined	8	8	8	8	0		
simple_linear_combination	standard	ok	determined_template	0.24	determined	8	8	8	8	0		
sirsforced	limitations	ok	determined_template	40.25	determined	39	39	39	39	1		
slowfast	standard	ok	determined_template	3.0	determined	26	26	26	26	0		
substr_test	standard	ok	determined_template	1.82	determined	12	12	12	12	0		
sum_test	standard	ok	determined_template	1.25	determined	18	18	18	18	1		
swing_equation	limitations	error	other_error	1.25							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(Delta_omega(t))   After substitution: Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(10.495654319995658,-1117.1624942505664,0.0,0.0,53.22024050097662,0.0,0.0,0.0)(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.41181418312179735,0.0,-0.7264005283743235,0.0,0.0,1.0,0.0,-0.3419366910477116) - Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.47269025020711397,0.0,0.0,1.0,0.0,0.0,0.0,0.0)sin(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.3781094012220795,0.0,0.0,0.0,0.0,0.0,1.0,0.0)))   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 9   Number of derivative levels in obs_rhs: 9   Dict keys (first 20): Symbolics.Num[H, D_damp, Pmax, omega_s, Pm, delta(t), Delta_omega(t), Differential(t, 1)(delta(t)), Differential(t, 1)(Delta_omega(t)), Differential(t, 2)(delta(t)), Differential(t, 2)(Delta_omega(t)), Differential(t, 3)(delta(t)), Differential(t, 3)(Delta_omega(t)), Differential(t, 4)(delta(t)), Differential(t, 4)(Delta_omega(t)), Differential(t, 5)(delta(t)), Differential(t, 5)(Delta_omega(t)), Differential(t, 6)(delta(t)), Differential(t, 6)(Delta_omega(t)), Differential(t, 7)(delta(t))]
tank_level	limitations	error	other_error	1.83							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(h(t))   After substitution: (Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.1252915225012522,0.0,0.0,1.0,0.0) - Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.6773954010479498,0.0,1.0,0.0,0.0)sqrt(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.18112978120083023,0.0,0.0,0.0,1.0))) / Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.6621014826693892,1.0,0.0,0.0,0.0)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 6   Number of derivative levels in obs_rhs: 6   Dict keys (first 20): Symbolics.Num[A, k, Qin, h(t), Differential(t, 1)(h(t)), Differential(t, 2)(h(t)), Differential(t, 3)(h(t)), Differential(t, 4)(h(t)), Differential(t, 5)(h(t)), Differential(t, 6)(h(t))]
tank_level_poly	standard	ok	determined_template	2.87	determined	11	11	11	11	0		
thermal_system	standard	ok	determined_template	2.1	determined	6	6	6	6	2		
threesp_cubed	standard	ok	determined_template	7.91	determined	12	12	12	12	0		
treatment	standard	ok	determined_template	152.77	determined	31	31	31	31	1		
trivial_unident	standard	ok	determined_template	1.71	determined	4	4	4	4	1		
two_compartment_pk	standard	ok	determined_template	1.44	determined	11	11	11	11	3		
two_tank	limitations	error	other_error	2.87							ErrorException	Incomplete symbolic substitution in multipoint_numerical_jacobian:   Expression: Differential(t, 1)(h1(t))   After substitution: (Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.1743232679423785,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0) - Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.8098145551247993,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0)sqrt(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.4610770737328662,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0)) - Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.08756219924298125,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0)sqrt(Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.4271967703110594,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0))) / Dual{ForwardDiff.Tag{ODEParameterEstimation.var"#f#multipoint_numerical_jacobian##0"{Vector{Any}, OrderedCollections.OrderedDict{Symbolics.Num, Float64}, Int64, Int64}, Float64}}(0.1500576671610273,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0)   Result type: SymbolicUtils.BasicSymbolicImpl.var"typeof(BasicSymbolicImpl)"{SymbolicUtils.SymReal}   obs_rhs index: i=2, j=1   Number of derivative levels in states_lhs: 9   Number of derivative levels in obs_rhs: 9   Dict keys (first 20): Symbolics.Num[A1, A2, k1, k2, k12, Qin, h1(t), h2(t), Differential(t, 1)(h1(t)), Differential(t, 1)(h2(t)), Differential(t, 2)(h1(t)), Differential(t, 2)(h2(t)), Differential(t, 3)(h1(t)), Differential(t, 3)(h2(t)), Differential(t, 4)(h1(t)), Differential(t, 4)(h2(t)), Differential(t, 5)(h1(t)), Differential(t, 5)(h2(t)), Differential(t, 6)(h1(t)), Differential(t, 6)(h2(t))]
two_tank_poly	standard	ok	determined_template	256.65	determined	26	26	26	26	0		
vanderpol	standard	ok	determined_template	1.42	determined	8	8	8	8	0		
