sp,interp,param_or_ic_label,role,truth_val,estimate,actual_delta,predicted_delta,ift_mismatch,worst_dd_rel,cond_J,n_solutions_prod,closest_dist
4.00000,agp_robust_se_times_rq,E_3,state_derivative,NaN,NaN,1.689859e+65,-1.090692e-70,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,E_2,state_derivative,NaN,NaN,3.504515e+49,-9.063654e-72,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,nu_0,parameter,2.770000e-01,5.932275e+00,5.655275e+00,-1.718487e-80,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,S_4,state_derivative,NaN,NaN,-8.230719e+78,-7.550795e-84,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,In_4,state_derivative,NaN,NaN,2.808545e+64,3.825844e-86,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,In_5,state_derivative,NaN,NaN,1.354266e+80,2.379291e-86,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,E_4,state_derivative,NaN,NaN,8.148412e+80,-1.236012e-86,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,E_1,state_derivative,NaN,NaN,7.267840e+33,-5.638996e-87,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,E_0,state_ic,1.820000e-01,-5.787150e+18,-5.787150e+18,1.322384e-97,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,In_6,state_derivative,NaN,NaN,6.530200e+95,-4.934295e-102,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust_se_times_rq,E_5,state_derivative,NaN,NaN,3.929122e+96,-3.871310e-102,1.000000e+00,1.052545e+02,1.189117e+192,4,3.983018e+96
13.00000,agp_robust_se_times_rq,a_0,parameter,1.870000e-01,-3.860734e-01,-5.730734e-01,3.760030e-91,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,Npop_1,state_derivative,NaN,NaN,0.000000e+00,-4.444244e-97,NaN,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,b_0,parameter,4.140000e-01,3.014100e+01,2.972700e+01,3.753619e-102,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,Npop_0,state_ic,3.210000e-01,3.209988e-01,-1.229719e-06,2.910415e-102,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,nu_0,parameter,2.770000e-01,-1.063866e+00,-1.340866e+00,4.902247e-113,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,Npop_2,state_derivative,NaN,NaN,0.000000e+00,-1.568857e-117,NaN,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_1,state_derivative,NaN,NaN,-8.678982e+22,-8.660089e-121,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,In_0,state_ic,4.180000e-01,1.647330e+23,1.647330e+23,-3.572271e-121,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
13.00000,agp_robust_se_times_rq,S_0,state_ic,6.470000e-01,-1.635710e+20,-1.635710e+20,1.592465e-135,1.000000e+00,1.284151e+02,1.867755e+227,2,7.276757e+126
