idx,rel,loss,gated_out,Jm,Jt,bm,bt,k
1,9847.268549153761,2.279890182148654e6,true,0.10777449212952474,0.15057021462786532,0.6732320537891233,0.053877918847811256,0.2567161929652357
2,3043.0087876454327,1.9195510159660417e6,true,0.1065776994144141,0.3665904353167341,0.5144677161708527,0.008317824061549387,0.4944936764843922
3,7.250293631701321,1.860004299236516e6,true,1.322814303816309,-0.11325274190658961,0.2834765227052351,-0.47900764964537695,-0.12054733458695582
4,21.61503130402823,892746.317658805,true,0.39264882369543797,0.20712931257653922,7.757540529654961,3.5279448834284035,0.5338118400665208
5,20.213167934712622,888384.7607454164,true,0.3870656297348359,0.20988258852437058,7.607269466283098,3.3092541978151693,0.5235274850504338
6,22.048929060464022,846353.9961527593,true,0.7698323290451629,0.3948686368385954,5.491515885439845,3.5956329334323875,0.8175198103800971
7,48.20370132129262,680224.6623112555,true,0.5622183460837296,1.2880251454215719,0.08616463606834378,7.675777406121648,1.1532666872686965
8,2.1143815084112925,296461.76662357594,true,0.18515519863456287,0.2798339907471077,1.5649677289371497,0.04203638350497226,0.48561492971688375
9,29.03952586822269,259687.8498434048,true,0.9553452220746647,-1.5981177194948746,3.665172836202119,-4.37416603544274,-1.6398858608700249
10,5.334632128520856,253021.15018063175,true,0.17990019627728274,0.2588281487680392,1.459991172327571,-0.01371982621339237,0.3995691944665578
11,8.646132913423065,112106.91984329444,true,0.22551906659111234,0.23756590066798997,0.8835150697546849,0.38958242238863294,0.32136165406589234
12,339.09415787277095,113606.62160586662,true,0.42559038887976636,0.029030055243611606,0.6701486305645541,-9.714169665202777e-5,0.0003327062857024271
13,0.8449310980694795,61314.4926716896,true,0.35347172879052924,0.3846195687227187,0.862594548769453,0.13959133863609993,0.6600383504363314
14,16.567185111497682,51818.56487355557,true,0.25211539617623524,0.23707496708092102,0.8762816843326753,0.0819398328756389,0.4344478149117542
15,1.557457327701167,26450.07440062594,true,0.004721540089143433,0.007071689558792607,0.671233024637439,0.0025057235751204804,0.013528033841691798
16,1.557457327701167,25142.35981042704,true,0.01720513373791292,-0.0016837830956264372,0.6738834064279069,-0.00013182496466087216,-0.001445746671843889
17,1.557457327701167,24954.611841206315,true,0.012009498335517652,0.039422816533840006,0.653206168331295,0.03590956103962908,0.1040218556048547
18,0.6298101312601592,23781.615039602028,true,0.4646993759426125,0.4792548842186455,0.46787888568147235,0.17841914018713603,0.8225030916361058
19,1.557457327701167,23417.803847868745,true,0.014599769478139119,0.0053195210854108605,0.6711110518297198,0.011429646865051083,0.0321319942089589
20,1.557457327701167,23339.33818812322,true,0.01490549886042149,0.02925034002101253,0.6687879135044406,0.012172318526424178,0.0496083833531355
21,0.5613656668535029,22373.263058000004,true,0.46247415138828935,0.47492504433733035,0.47443406708118785,0.1719174349253453,0.8161581251158687
22,1.557457327701167,22164.346317270865,true,0.023772537288285458,0.029586064460982046,0.6632376856126065,0.024924539771792834,0.0759799728287579
23,1.557457327701167,16872.715915823283,true,0.053759334092828265,0.10217774238983392,0.656413551471854,0.039415277280705305,0.16717028360047884
24,4.691107229575388,16056.564934962298,true,0.002025931878344289,2.5325427171610473,0.6476024563101217,0.01243517424543675,0.3567579590793062
25,298.54923911208874,13901.810457082796,true,0.1998476729834591,0.2142634026639261,0.6211236229083581,0.16222847598314946,0.4295503094564397
26,301.45301855866774,6984.672918476996,true,0.2135524179153081,0.11319600749607811,0.678775671899877,-0.052050048980717176,0.2809550154490554
27,0.47508828701242745,3659.481470784053,true,0.449784453125095,0.4499647194446204,0.5792151297903422,0.08188622722606131,0.7780421130001248
28,45.29865505889425,3.334354536323667e8,true,-0.48341820790097817,-1.4915632852475604,0.6699301348251316,-0.019141870234216537,0.00036912559166239663
29,11.037330044413828,2541.0987389236743,true,0.3609640563091293,0.29386356589455037,0.6926710454081705,0.058118294674093594,0.6174712264727303
30,0.8269108196911569,2475.266262861415,true,0.43760198299786984,0.435358303269069,0.5892065409992812,0.0808171144795434,0.7546981727529071
31,41.98042288482993,496891.1357811813,true,-0.4703429147765626,-0.0364180793709618,0.6700672852022268,-0.00020439076215011227,1.1875952919183005e-5
32,39.26267675202297,2209.605409531464,true,-1.0357131003565394,-1.3803708431109858,0.8808399195377536,-0.44650519835777064,-2.2156095939589577
33,39.26591379581304,2202.135146642219,true,-1.2023640854699782,-1.589335974822733,0.9124108393739806,-0.511170507752993,-2.559318756910598
34,0.9848759504655153,1254.3112844655834,true,0.448708922036301,0.47095860734465916,0.5384545120940203,0.2003886104883346,0.8055893799483907
35,2.5347539116783597,1078.087726309717,true,0.6307950314294808,0.03092841816621041,0.6697794166430908,-0.04582444870370193,0.020985973554982475
36,2.548806746845077,923.8614104298345,true,0.6323370631346876,0.026283171764314328,0.6690377391045454,-0.03913576187739174,0.017758469709667376
37,36.93560089859545,901.4795577908402,true,0.5046409897410485,0.6456745714179458,0.560989732786983,0.2188216569390793,0.9944912222529819
38,0.8501003992006851,899.9369207522288,true,0.4449501200168587,0.46669973681815446,0.5443454491773055,0.19796896052640847,0.7988267566865642
39,33.485385294226155,699.277544267168,true,1.3148495393607271,-0.32185392562910753,0.6662239233487146,0.0009676059972217274,-0.0008869177015784777
40,29.48670667705898,678.4374129119093,true,1.93907787371621,2.181933865313401,0.1754591773459847,0.8721261283300531,3.7608342043574927
41,33.75288088470395,639.396196668534,true,1.7012442961577228,-0.5367912890187994,0.6677062126640625,-0.006018468604599024,-0.004485786664295271
42,32.33086780724114,583.6157085980216,true,0.44844746763966215,0.5935764746639561,0.5710771435121115,0.1981444375454473,0.9030425941256479
43,29.580993226388735,563.9630593661575,true,1.6311095937027242,1.8137566062545918,0.26037119320127483,0.7510426991563515,3.1513626137285353
44,16.86983181295308,242.00585457503934,true,0.3521735697362104,0.347828107068914,0.6162990671712859,0.14193144040564476,0.6282782541029361
45,14.554559403242974,211.35347086138017,true,0.36044502820979074,0.3565875221696706,0.6129514068974289,0.14672734433447143,0.6462425720943091
46,1.557457327701167,Inf,false,0.630461943339938,0.0001060068481557297,0.670370883941052,0.012324388504717908,0.020852648720640594
47,17.590172663199336,187.7201265662198,true,0.554955101131575,0.5969356013026403,0.539159348393115,0.269465571235094,0.9588772150464231
48,11.30541866444325,187.94356769965106,true,0.5409161461612673,0.5573944156903298,0.5467049058523927,0.20876569175806242,0.9366871422611204
49,17.933847318226317,169.220114367444,true,0.5637455410666676,0.024887743492158314,0.6688203285047405,0.003083465442649445,0.013776409869742826
50,20.684247750893988,205.97698488682772,true,0.6967638263923452,-0.03122659800163674,0.6698344689108461,-2.0311231538998196e-5,-0.0002579526771014259
51,14.077542026893429,107.98441673661182,true,0.6697523372352887,0.03233115143642539,0.6677835062936694,0.004556766732486385,0.020378457763225742
52,2505.818371289525,Inf,false,0.6313372019722259,0.00032101668530813384,0.6686370261482134,0.014108483896864034,0.023965347936999597
53,10.194691195485873,28.333316438546653,true,0.6772709544207396,0.038851704454798436,0.6684635702237041,0.0013492078499282082,0.009629946766110295
54,1.6343995887949596,20.57036899992714,true,0.630621011642193,0.008516883835114303,0.668575610797349,0.011053205246502378,0.026450402839336577
55,1.6355143254977134,18.575140698729875,true,0.6308968596290797,0.007619921249853009,0.669437176667507,0.009044225167069412,0.02227635663995355
