nu,g,Tr(t),post_polish_error,b,a,err,branch_size,Npop(t),In(t),polish_source_hc_idx,S(t),d
0.22561682311931552,0.7087571959980027,0.7125767358257095,122716.0589603634,0.6459489967663349,0.48301072239586995,122716.0589603634,79.0,0.6149808829468072,0.517834269009043,603.0,0.6865615802856571,0.2341046415648985
0.22533189348711144,0.7086028834585885,0.7155617585936264,122716.19875407245,0.6473513475551089,0.5093826133345453,122716.19875407245,5.0,0.6149808830768817,0.5160533751103376,171.0,0.6935072205532071,0.22667020804474408
0.22597343433509298,0.7089523823708697,0.7092174476385892,122716.238774405,0.6442087268961548,0.4553645550734551,122716.238774405,1.0,0.6149808826614096,0.5198113925369926,354.0,0.6793289013519662,0.2423122152740513
0.2249925746869044,0.7083808714419026,0.8016160782018094,122761.04089795597,0.6201694384130502,1.4856744681941947,122761.04089795597,11.0,0.6149808829126906,0.4598205734917416,381.0,1.0844490190700378,0.005180139646576079
0.17531979933106326,0.6907875444121281,1.551285178158391,0.21387502065809383,0.674323844000121,0.5234305216513341,0.21387502065809383,2.0,0.6150000421407561,0.4272751725859134,-1.0,0.6873867398438418,0.20753945483974381
0.17531979933106326,0.690787544412128,1.572629473526773,0.2152047910889317,0.6815726275138713,0.7986968856398277,0.2152047910889317,2.0,0.6150000421407561,0.4235022104537591,-1.0,0.7647682427068433,0.1413500125121571
0.17531979933106326,0.6907875444121281,1.6087923940899762,0.2191882996786438,0.7013135173751287,1.150966930780282,0.2191882996786438,2.0,0.6150000421407561,0.418372244748086,-1.0,0.9387536197877867,0.006684900320632663
0.19205953708192605,0.698049240216947,2.1183864561074013,0.23424968810771316,0.6674426608520282,0.002910749077894841,0.23424968810771316,1.0,0.6149808829465965,0.3268184512688987,-1.0,0.5692178990013609,0.3455281931825588
0.36876663553510175,0.7292151749613983,0.7580971446752434,0.24152665284740896,0.667539592108509,0.2463628619013385,0.24152665284740896,1.0,0.6149808829465998,0.4893389867168816,-1.0,0.7320715431624979,0.12635894432339015
0.27662798147559853,0.7154023566142655,0.6509078020162444,0.25251775174541685,0.5898172288849487,0.016301544021447206,0.25251775174541685,1.0,0.6149808829465979,0.5559443020832259,-1.0,0.5725429593682329,0.43906038945642945
0.16136816133208506,0.687718587092781,2.1700453080812196,0.2816600587057272,0.6374969002012131,0.038432070746924916,0.2816600587057272,2.0,0.6149808829465868,0.3364639558247312,-1.0,0.5696985557123758,0.380014516027254
0.19119781100748517,0.7077262496233246,0.686345398190873,0.2911493321478893,0.4212193665275663,5.286504862069135,0.2911493321478893,2.0,0.6149808829465999,0.5134615382563233,-1.0,1.9983017735814776,0.1152804456318987
0.1955240118759008,0.6961165798699583,-2.6705001682922247,0.4044003696370475,0.5620573682471705,-0.14763933025443662,0.4044003696370475,2.0,0.6149808829465969,1.1380118123186929,-1.0,0.5282975371986197,0.5442570118824189
0.36300394224576393,0.7322203940980694,0.27074383015339926,0.4068229417720581,0.6205120697306823,-0.028898558983170026,0.4068229417720581,2.0,0.6149808829466056,0.5901618545555923,-1.0,0.5790239898461615,0.38151224124002714
0.13585627767531927,0.67221212903214,10.55526596618255,0.4108277495931336,0.21138312609574103,0.010455738204893204,0.4108277495931336,2.0,0.6149808829466012,-1.8323581652029328,-1.0,0.6182537808368239,2.1486924842373707
0.2040168831843582,0.7181229139481031,0.5590524247874384,0.4783546110204924,0.8296255493666265,-0.09455715652510842,0.4783546110204924,2.0,0.6149808829466037,0.4370658148458042,-1.0,0.7006557205089448,-0.04781374852136956
0.44816779115812166,0.7482483866862893,-0.7861247613026477,0.5191119047178,0.6204878627990608,-0.19291441379974375,0.5191119047178,2.0,0.6149808829465989,0.7555289222260599,-1.0,0.5581962643829742,0.4064276079800283
0.34743783284433305,0.7284683141595975,0.6285782292551012,0.5215639698392749,0.6059891099057142,0.6756257682163022,0.5215639698392749,1.0,0.6149808829465985,0.5313144342685416,-1.0,0.7265762823393754,0.2713621565309871
0.2939214881412399,0.7200825684824979,0.744706625597868,0.5272562249239628,0.44918916410447196,4.313524984932751,0.5272562249239628,1.0,0.6149808829465989,0.4977565747260975,-1.0,1.7688240678686546,0.09687991391111668
0.3673167676961377,0.7320440445844255,-3.8752156895037575,0.5904636784571393,0.29658573797644694,6.69810648981701,0.5904636784571393,2.0,0.6149808829466012,1.7907760042152758,-1.0,2.3744378702893734,0.32050842156039794
0.36731676769613797,0.7320440445844256,-3.991292394758583,0.6117464986133007,0.2843702340554346,0.5067935490381054,0.6117464986133007,2.0,0.6149808829466012,1.8329154813924906,-1.0,0.6363302410068213,1.150697097118188
0.2349578861161928,0.7322001521645406,21.689432108081043,0.7014305367178375,0.7850110117145627,-0.09452687083644636,0.7014305367178375,2.0,0.6149808829466012,-2.6326049022253826,-1.0,0.6233302954652451,0.38428138700514736
0.1903162121479124,0.6969014807899798,-8.19483996229124,0.7533741637359653,0.5158252680255503,-0.29210733307121906,0.7533741637359653,1.0,0.6149808829465973,2.231348270490978,-1.0,0.48146625971669554,0.6914861570248966
0.2005323176259866,0.7009307250370169,0.6523743704681264,0.9777063917506418,1.1265632290613734,0.044793549762687186,0.9777063917506418,2.0,0.6149808829466012,0.42091334237918576,-1.0,0.5413679936442118,-0.03597804621177966
0.23215563898804062,0.704938378006826,-2.3996815775295786,1.1761688500074232,-1.459713124807499,-9.558494692004059,1.1761688500074232,2.0,0.6149808829465915,1.8539082314990925,-1.0,0.21189135421701602,-0.09152009895714215
0.23242206623393227,0.7062784471590541,-5.550558560573295,1.204418995859311,-1.4580752961457288,-9.560799776812472,1.204418995859311,2.0,0.6149808829466011,2.6207827035130804,-1.0,0.22552362024203862,-0.0915809413921315
0.24141855455215575,0.7084203048926747,5.743549483122125,1.207367603173256,0.7534700890114676,0.8462791585333151,1.207367603173256,2.0,0.615141829598857,0.2876014936930806,-1.0,0.8958023104521189,-0.039352068265078435
0.2420354931291208,0.7129065106866016,-5.675597082977433,1.253435706483782,-1.524648852140861,-9.458646300267096,1.253435706483782,1.0,0.6149808829465998,2.6345267901007268,-1.0,0.2070207328602262,-0.08999214930546057
0.2425608210096658,0.7155468749428967,-2.5222095135849263,1.317942843918253,-1.4623389177693529,-9.388194819702047,1.317942843918253,1.0,0.6149808829466001,1.8652296641104136,-1.0,0.1984376236417387,-0.09222418789385287
0.365723397750142,0.735585590002549,-13.861130788431566,1.4959534420854057,0.5626284508219725,-0.8362196065680609,1.4959534420854057,2.0,0.6152341469037165,3.2580515754908848,-1.0,0.4047585340266181,0.7255600442567335
-0.18974250234987688,0.6524238182152021,-9.156414845026806,1.5758101765255823,-0.5303480158305731,-15.147680425612478,1.5758101765255823,2.0,0.6149808829466006,3.581788401787145,-1.0,1.5702279025484651,-0.046862480121160274
-0.15997554589659324,0.6559130321901374,-4.556194439386747,1.6197544167618607,-0.5644833129730539,-14.019765759409978,1.6197544167618607,2.0,0.6149808829465966,2.5170650473084044,-1.0,1.2355876189043993,-0.039078791873109184
0.2116104962936327,0.7057932181820659,11.208087073649917,1.7392027829642025,0.80071479015481,0.7498459173326811,1.7392027829642025,2.0,0.6148264467560504,0.2879641430317054,-1.0,0.8022796364765875,-0.029231782833758276
