i,err,source_type,primary_method,interpolator,rescue,sp_idx,cand_idx,agg_strategy,mp_combo,In(t),Npop(t),S(t),Tr(t),a,b,d,g,nu
1,0.00026777409791759133,"single_point","algebraic","aaad_gpr","none",63,475,"none",-1,0.6740055678279184,0.20800000008982886,0.7249969195367603,0.10898004029157411,0.47296726484577295,0.7339970690863704,0.37801782039220533,0.775003829813424,0.6200751495632439
2,0.00011541537234514862,"single_point","algebraic","aaad","none",80,542,"none",-1,0.6739934274387687,0.20799999923451953,0.7250035519490796,0.10903730995392538,0.4730366770778481,0.7340013196562588,0.37798584934514623,0.774997025283925,0.6199617128381952
3,0.0015206537122767136,"single_point","algebraic","aaad_gpr","none",48,473,"none",-1,0.6740015649118694,0.20800000008982886,0.7249816921425356,0.10902991054150783,0.4728585987631612,0.7340021460603808,0.37804141455449564,0.7749846386611202,0.6196558747411772
4,2.133696461626924e-5,"single_point","algebraic","aaad_gpr","none",80,477,"none",-1,0.6740296529143819,0.20800000008982886,0.7249843131709777,0.1089187131785128,0.47287670474368176,0.7339850761394533,0.3780865485023752,0.7750021597905636,0.6200267668996566
5,0.00220019288612528,"single_point","algebraic","aaad_gpr","none",25,466,"none",-1,0.6740006624912802,0.20800000008982886,0.7249434073928637,0.10901105520799234,0.4723395991712125,0.734026171587137,0.3780382166531344,0.7749873306410692,0.6196525936917512
6,0.003450386954790957,"single_point","algebraic","aaad_gpr","none",36,471,"none",-1,0.6739978318834996,0.20800000008982886,0.7250888785309326,0.1089753889567234,0.4740594472409918,0.7339634613075977,0.3779275570809453,0.7750206880021424,0.6205352022325608
7,0.00011893898616115967,"single_point","algebraic","aaad_gpr","none",101,479,"none",-1,0.6738956654648895,0.20800000008982886,0.7250121615999403,0.10930831495293458,0.4730549091528746,0.7340391288240566,0.37788388389157507,0.7750023359109462,0.620019977073095
8,0.0023482888619522292,"single_point","algebraic","s3_adapt_rq","none",63,241,"none",-1,0.6739362294814143,0.20800000008982886,0.7251794822953674,0.10901902356540916,0.47466194345255025,0.7340102635391439,0.3774724191794648,0.7750084671021009,0.6201476247285256
9,0.001800022060474535,"single_point","algebraic","s3_adapt_se","none",80,172,"none",-1,0.6735260284425914,0.20800000008982886,0.725218691362118,0.10993988758611375,0.4745277624439719,0.7342790324881553,0.37661131595952235,0.7750092184525388,0.6201133246303202
10,0.0019107111846459097,"single_point","algebraic","s3_adapt_rq","none",80,242,"none",-1,0.6734738775978292,0.20800000008982886,0.7253075714441956,0.1100858421319057,0.4753142114231101,0.7343031991663522,0.3762673048039951,0.7749953814833013,0.6199394132400669
11,0.008670463451629999,"single_point","algebraic","s3_adapt_se","none",48,168,"none",-1,0.6741684162524311,0.20800000008982886,0.7244247362424906,0.10889291247305419,0.4674206775198649,0.7340324903077942,0.3794373234116108,0.7749725641492944,0.6193587324455191
12,0.006392996368979865,"single_point","algebraic","s3_adapt_se","none",63,170,"none",-1,0.6736404737610273,0.20800000008982886,0.725658300519843,0.10942263206637165,0.4788825723596724,0.7341400427154685,0.37572590788851096,0.7750031818087149,0.6200777441370272
13,0.004508538481944007,"single_point","algebraic","agp_robust","none",36,16,"none",-1,0.6739239516689923,0.20800000008982886,0.7247438010122134,0.10895624727304896,0.46709344654753904,0.7342405020042762,0.37730201146676323,0.7751063064712989,0.6229557530024027
14,0.0028524872068345585,"single_point","algebraic","agp_robust","none",80,21,"none",-1,0.6732523325027594,0.20800000008982886,0.7253356101364249,0.11044107782668955,0.4753101136042885,0.7344464683926624,0.37582199395145727,0.7750181215488277,0.620210512552336
15,0.0001504790220931259,"single_point","algebraic","s3_adapt_se","none",101,174,"none",-1,0.6736129772821157,0.20800000008982886,0.7250164781674527,0.11045858305967275,0.47303225648611996,0.7340998714569181,0.37779065543526474,0.7749961497123999,0.6199592878215574
16,0.003120597941691652,"single_point","algebraic","agp_robust_rq","none",80,100,"none",-1,0.6732510130001456,0.20800000008982886,0.7254118452562008,0.11046545438532451,0.4760138695782944,0.7344423398078578,0.3755871664538748,0.7750072395867231,0.6200944997734411
17,0.006808188507084801,"single_point","algebraic","agp_robust_rq","none",63,98,"none",-1,0.6736704128775979,0.20800000008982886,0.7257170815418597,0.1093720840704508,0.47959974684909445,0.7340902040272393,0.37573211818515556,0.7749972379939695,0.6199639595262074
18,0.0002934983908870703,"single_point","algebraic","s3_adapt_rq","none",101,244,"none",-1,0.6735209226715119,0.20800000008982886,0.7250543265086462,0.11052253042885518,0.47326203315614185,0.7341732375116486,0.3774843739665908,0.7750024097467517,0.6200218960527031
19,0.00014407645324372834,"single_point","algebraic","aaad","none",101,544,"none",-1,0.6744514855617534,0.2080000004267851,0.724951547569304,0.1074657351797046,0.47275660216879295,0.7338505462651543,0.3784416899570043,0.7750017722676745,0.620015438483626
20,0.009120108321657378,"single_point","algebraic","s3_adapt_rq","none",48,239,"none",-1,0.6741162801176381,0.20800000008982886,0.7243602130081662,0.10893466667897739,0.4661354936374611,0.7341352464064432,0.3791642026751696,0.7749865236231601,0.6197087370165075
21,8.182832020811972e-5,"single_point","algebraic","s3_adapt_rq","none",124,246,"none",-1,0.6744513888357505,0.20800000008982886,0.7249799451623374,0.1072870402989381,0.4729623899761197,0.7338952609403336,0.37821434140306925,0.7749980329174062,0.6199881171761594
22,469.2097461671282,"synthesized_aggregate","algebraic","","none",-1,-1,"median",-1,0.673999198672837,0.20800000008982886,0.7241406495734022,0.10900146068372579,0.46510414519661164,0.7337997543856359,0.3810059690174129,0.7750084671021009,0.6201476247285256
23,0.0034857803246786325,"single_point","algebraic","s2_aaa_mle","none",63,603,"none",-1,0.6745365896336543,0.20800000015791023,0.7241406495734022,0.10803999516389287,0.46510414519661164,0.7337997543856359,0.3810059690174129,0.7750683794164843,0.6212391974785909
24,0.011040910271615443,"single_point","algebraic","s2_aaa_mle","none",48,601,"none",-1,0.6741544005850089,0.20800000131576224,0.7242049149844831,0.1088820489898451,0.464418443150198,0.7341614034016953,0.3794571806952662,0.7749889723053699,0.6197361232852086
25,0.010503744137153671,"single_point","algebraic","agp_robust_rq","none",25,92,"none",-1,0.6740242601509863,0.20800000008982886,0.7254628251074744,0.1090023954130741,0.4824885111585267,0.7337977255403323,0.37828908143659823,0.7749744778231454,0.6191311490648752
26,0.013352141098034804,"single_point","algebraic","aaad","none",48,539,"none",-1,0.6741925206275595,0.20800000159703463,0.7240075409858057,0.1088563209079504,0.46226727570937776,0.7342011222675374,0.3798183547408074,0.7749897678531087,0.6197885248447031
27,6.614198286066317e-5,"single_point","algebraic","aaad","none",152,548,"none",-1,0.6734134704219683,0.20800000051113468,0.7250151919867306,0.11163455770117134,0.4729971141137801,0.7340718929307589,0.37790526570581473,0.7750022061418539,0.6200090630397689
28,0.019343282218747423,"single_point","algebraic","agp_robust","none",48,18,"none",-1,0.6743133722037068,0.20800000008982886,0.723817848340103,0.1088302601765883,0.46133977821589145,0.7341084447777659,0.38078142973727186,0.7749320798984207,0.618397381289563
29,0.013393588403167097,"single_point","algebraic","agp_robust","none",63,19,"none",-1,0.6733164809985994,0.20800000008982886,0.7263123051523492,0.1097683249622358,0.48477896799584164,0.7342490884171285,0.3735696357323023,0.7750136249368703,0.620300840228359
30,0.015325581866630172,"single_point","algebraic","agp_robust_rq","none",48,95,"none",-1,0.6742577585098082,0.20800000008982886,0.7238187480871311,0.10879622933061268,0.4606358475948171,0.7341962564451133,0.3803901627097522,0.7749879600138558,0.6197073602644116
31,0.019560132520092643,"single_point","algebraic","agp_robust_rq","none",36,93,"none",-1,0.673915695570485,0.20800000008982886,0.7261971033879165,0.10903411158293316,0.48713394662893195,0.7335481791802196,0.37672537286792684,0.7750218691436886,0.6206169322060229
32,0.021894461258846788,"single_point","algebraic","aaad_gpr","none",16,462,"none",-1,0.6740000985043588,0.20800000008982886,0.7238945373506642,0.10899636994199516,0.45658472939477923,0.7345013993243356,0.37830648497667707,0.7750043667935131,0.6200424247068147
33,0.026071373499533437,"single_point","algebraic","s3_adapt_rq","none",36,237,"none",-1,0.6739168376994809,0.20800000008982886,0.726567219970746,0.10902725942096712,0.4923274263962013,0.7333710537165865,0.37661252190684535,0.7750215559155754,0.620562159090319
34,0.004305121733794386,"single_point","algebraic","s2_aaa_mle","none",101,607,"none",-1,0.6731264133467798,0.20799999993226687,0.7250708170601452,0.11399818126616859,0.473712848400744,0.7341222443427314,0.3775896745570586,0.7748542952367621,0.6187033318554341
35,0.00027539189976523,"single_point","algebraic","s3_adapt_se","none",124,176,"none",-1,0.6752774947984344,0.20800000008982886,0.7249549354210569,0.10395114982609406,0.47296968086579566,0.7337490886902382,0.37845029913080264,0.7749898109971268,0.6199397701455466
36,0.0006511707089307492,"single_point","algebraic","agp_robust","none",101,23,"none",-1,0.6726619219834202,0.20800000008982886,0.7250527279611426,0.11414070525245158,0.4730878139387015,0.7343388041175312,0.3773026349016712,0.7749819593448721,0.6198293042113167
37,0.025282528130336854,"single_point","algebraic","s3_adapt_se","none",36,166,"none",-1,0.673990839713491,0.20800000008982886,0.723322994611108,0.10896284906465939,0.44958482834035196,0.7348232770221682,0.378515963407574,0.7750506024013292,0.6213789352093263
38,0.000127217455024715,"single_point","algebraic","s3_adapt_rq","none",152,248,"none",-1,0.6726892496527511,0.20800000008982886,0.7250365665836894,0.11475554285906107,0.47300904216456047,0.7341836344090348,0.37773511321798536,0.7750016373677383,0.6200063310555108
39,0.00013228542714843503,"single_point","algebraic","aaad_gpr","none",124,481,"none",-1,0.6754708869773183,0.20800000008982886,0.7249464797498161,0.10286651646225763,0.472917100234876,0.7337337461559874,0.3784853204332182,0.7750017875523643,0.6200094362857399
40,0.0008291916859298412,"single_point","algebraic","agp_robust_rq","none",101,102,"none",-1,0.6721307418859127,0.20800000008982886,0.7251909940011534,0.1151771682879167,0.47389313853032167,0.7346382290518337,0.3761655579914561,0.7750035889742448,0.6200289088968682
41,0.00015060221901935604,"single_point","algebraic","aaad","none",124,546,"none",-1,0.6723766000703802,0.20800000094195303,0.7250630856249262,0.11569487875500725,0.47311530930478035,0.7343082971923357,0.3774147825761827,0.7749984668550346,0.6199908638759936
42,0.0036284868173137646,"single_point","algebraic","s2_aaa_mle","none",124,609,"none",-1,0.6706487168662424,0.2080000030071519,0.7251332171507688,0.11904393187184895,0.47279939771438056,0.7348998104409342,0.37628538131440215,0.7751751482374337,0.6210295455200745
43,0.05955115731535758,"single_point","algebraic","aaad","none",16,530,"none",-1,0.6740009791763988,0.20800000031586507,0.7217312097534263,0.10898526002276461,0.42435630641016003,0.7354832490931663,0.3789240551496441,0.775040458853409,0.6216044022433587
44,0.061809006879901277,"single_point","algebraic","aaad","none",63,540,"none",-1,0.6700752815747345,0.20800000115885905,0.7318271582525764,0.11386885337135791,0.5336107825320947,0.7355707800755338,0.35432101771541635,0.7750053187528959,0.6200877071403267
45,0.09590093794173735,"single_point","algebraic","agp_robust_rq","none",16,88,"none",-1,0.6739900978715456,0.20800000008982886,0.7207346064977732,0.1089990744444279,0.4028329565023679,0.735749503147753,0.3788283517506943,0.7750172183317795,0.6208028177374985
46,0.0005389950636358887,"single_point","algebraic","s3_adapt_se","none",152,178,"none",-1,0.6688978762699739,0.20800000008982886,0.7251345050770528,0.13281820248411783,0.47306387522653776,0.7345744854536198,0.3772568093034727,0.7749866415654242,0.6199485501348067
47,0.14388163907737614,"single_point","algebraic","s3_adapt_rq","none",25,232,"none",-1,0.6739985433862195,0.20800000008982886,0.7329488017601071,0.10901524578925623,0.5877497575291879,0.7303404140234324,0.37567362124805054,0.7749736148303862,0.619160885076497
48,0.20343844663589114,"single_point","algebraic","aaad_gpr","none",8,459,"none",-1,0.6740000628257341,0.20800000008982886,0.7150806442516431,0.10900075698101654,0.32296882687282114,0.7384493318903524,0.38077402439223007,0.7750238860262826,0.6218006702938913
49,0.0008544512667781369,"single_point","algebraic","aaad_gpr","none",152,483,"none",-1,0.6825024626433217,0.20800000008982886,0.7247794942201571,0.06951804480603904,0.47294628922461723,0.7330662940527062,0.37919185066246136,0.7750035367057031,0.620013629537044
50,0.20379634651528242,"single_point","algebraic","agp_robust","none",25,13,"none",-1,0.674008744090522,0.20800000008982886,0.7369320926535177,0.10905424542478025,0.6464419713214276,0.7285288283125825,0.374722938335578,0.7748799765315163,0.6159477992403295
51,0.0009372696879032917,"single_point","algebraic","agp_robust","none",124,25,"none",-1,0.6646769781687641,0.20800000008982886,0.7252835994160537,0.14947146354456126,0.47323711503580634,0.7354686955116745,0.3756640708071763,0.774978425070005,0.6198764671561807
52,0.0009823571279425343,"single_point","algebraic","agp_robust_rq","none",124,104,"none",-1,0.6640859271049453,0.20800000008982886,0.7253712661800734,0.14989957832804718,0.4735885693131302,0.7358860876791763,0.3745041739555878,0.7750013735867147,0.6200062175551936
53,0.0010277194072334116,"single_point","algebraic","s3_adapt_rq","none",185,250,"none",-1,0.683720342889704,0.20800000008982886,0.7247680728333281,0.06191202253633825,0.4729969104344023,0.7331709539093857,0.37887436901888294,0.7749987432165448,0.6199969427935755
54,0.3165002263072523,"single_point","algebraic","s3_adapt_se","none",25,165,"none",-1,0.6739675428244755,0.20800000008982886,0.7437183356392503,0.10905255960064728,0.7388319498377064,0.7254477387634131,0.3720888334896404,0.7749279608657234,0.6176714076031771
55,0.35239681240343323,"single_point","algebraic","aaad","none",36,537,"none",-1,0.6732478506063313,0.2079999990475398,0.74829745197784,0.10942197490192304,0.7729078166850517,0.7241308181530073,0.3628546093616983,0.775029831717384,0.620761004861439
56,1.3863950427271722e7,"synthesized_aggregate","algebraic","","none",-1,-1,"median",-1,0.673999198672837,0.20800000008982886,0.8963062122703956,0.10900146068372579,0.46981608432846267,0.6032775472353815,0.1252397756425666,0.7750002717699268,0.6200006432485861
57,3.903676815508487,"multipoint","algebraic","s3_adapt_rq","none",16,285,"none",3,0.6683694085674411,0.20800000008982886,1.2313952772504086,0.11050142411958573,0.469482571708043,0.45365451607010115,0.11183678348640536,0.7749987858384247,0.6200005694941653
58,0.0017213405246501597,"single_point","algebraic","agp_robust_rq","none",152,106,"none",-1,0.6904809136717432,0.20800000008982886,0.7246031209125089,0.029964263874754146,0.47299630015882205,0.7325249934207387,0.37957636063095734,0.7750028951251228,0.6200108379523908
59,0.18746005193766102,"single_point","algebraic","s2_aaa_mle","none",80,605,"none",-1,0.6333838507378508,0.20799999904455826,0.7551640416770179,0.1927509079068166,0.6950809021680125,0.7587797584688908,0.2279540095356602,0.7749983456632512,0.619987187638927
60,1.3515261090991824,"multipoint","algebraic","s3_adapt_rq","none",25,289,"none",4,0.6574436353910896,0.20800000008982886,0.9013061437851275,0.11656530190562948,0.469751642102046,0.6393671140339232,0.0758857678021669,0.774999812913349,0.6200006225259445
61,0.5529222080854024,"multipoint","algebraic","s3_adapt_rq","none",36,294,"none",5,0.6424006259668574,0.20800000008982886,0.7984553078855618,0.13177317957787932,0.46988052655487933,0.7398011815017996,0.06392743500424268,0.775000615590752,0.6200006639712274
62,1.2107519291354562e8,"synthesized_aggregate","algebraic","","none",-1,-1,"median",-1,0.673999198672837,0.20800000008982886,0.7242439625477041,0.10900146068372579,0.4729969104344023,0.0921667512392064,0.3340954018179887,0.7749987432165448,0.6199969427935755
63,1.4260396977255052e8,"synthesized_aggregate","algebraic","","none",-1,-1,"median",-1,0.673999198672837,0.20800000008982886,0.6417057825568561,0.10900146068372578,0.469991757179172,0.08830458475950873,0.34959374514366925,0.7750000014472178,0.6199998145428225
64,0.3913769118981998,"single_point","algebraic","chebyshev_bic","none",80,316,"none",-1,0.6703755592650531,0.20800000010366654,0.7801678681045984,0.048573699710951344,0.9133438751174917,0.7360697812452138,0.20456608959283418,0.7753793497787945,0.6269225907244149
65,0.7030518693806878,"multipoint","algebraic","s3_adapt_rq","none",36,291,"none",5,0.6359463421215036,0.20800000008982886,0.8183134707433327,0.1365378567921338,0.46683353781624515,0.737954190516258,0.0005212524879909801,0.775000615590752,0.6200006639712274
66,1.879830887409649,"multipoint","algebraic","s3_adapt_rq","none",25,287,"none",4,0.6531893529193395,0.20800000008982886,0.9703536458192781,0.11853289903394748,0.4655012181636461,0.6061327741764866,0.0004138863294355786,0.774999812913349,0.6200006225259445
67,0.7531152644461366,"single_point","algebraic","s3_adapt_rq","none",16,228,"none",-1,0.6743955237204264,0.20800000008982886,0.69261812341774,0.10875937689878998,-0.014185081714898075,0.749102691534775,0.3872808730694023,0.7750213035240574,0.6209146901048632
68,0.0031767039473268033,"single_point","algebraic","s3_adapt_se","none",185,180,"none",-1,0.7035849840756934,0.20800000008982886,0.7243063298190694,-0.03617198843694223,0.47299950037982746,0.7317210569451582,0.3802612635482381,0.7749967855812199,0.619993060024117
69,0.0037158319212541326,"single_point","algebraic","aaad_gpr","none",185,485,"none",-1,0.707425918812603,0.20800000008982886,0.7242439625477041,-0.059853764761842225,0.4729991436991174,0.7318819804062832,0.3798375228996672,0.7750008105627073,0.6200025183344767
70,8.714481054407923,"multipoint","algebraic","s3_adapt_rq","none",16,283,"none",3,0.6659879245363615,0.20800000008982886,1.8580132729818752,0.11113873947271023,0.4582106055422135,0.3067571697971499,0.00019514019653110316,0.7749987858384247,0.6200005694941652
71,10.21475891667389,"multipoint","algebraic","s3_adapt_rq","none",8,279,"none",2,0.6734145186422495,0.20800000008982886,2.0497051282856935,0.10906521061197968,0.46914036958401845,0.2643636029182213,0.20023952984773752,0.7750044449788169,0.6200008616970779
72,2.5549656364871532e8,"synthesized_aggregate","algebraic","","none",-1,-1,"median",-1,0.673999198672837,0.20800000008982886,-0.6872602949271631,0.10900146068372579,0.28829795571293676,-0.7869025981515905,-0.020454971164085824,0.7744765993033764,0.6195111948671829
73,1.0e15,"multipoint","algebraic","s3_adapt_rq","none",8,281,"none",2,0.9832281165275629,0.20800000008982886,-0.8526913972696215,0.03830744823604941,0.4660945153909965,-0.667134114796679,-0.09460441099508955,0.7750044449788169,0.6200008616970779
74,2.2523264842084427,"single_point","algebraic","aaad","none",25,534,"none",-1,0.7054654639001382,0.20800000015282485,0.6496882318317152,0.07514252784604936,-0.6501739529666802,0.7722592040184254,0.4059467587256491,0.7745859720235571,0.6064977944701503
75,2.218700430733969,"single_point","algebraic","agp_robust","none",16,9,"none",-1,0.6928383253145601,0.20800000008982886,0.651059658690188,0.09786336163034565,-0.663550293767154,0.770164366253419,0.40036555443551125,0.7750727964513643,0.6234702213553774
76,2.7430047817193026,"single_point","algebraic","s3_adapt_se","none",16,161,"none",-1,0.6978936268127847,0.20800000008982886,0.6395370143710292,0.0948894261076667,-0.8381379302260584,0.7766189603121099,0.4047471490786341,0.7750787343896319,0.623250099508524
77,16.13952762808797,"multipoint","algebraic","s3_adapt_rq","none",1,275,"none",1,0.6739993429130323,0.20800000008982886,2.8181705298199327,0.10900053952678382,0.46903342960974925,0.18993653883668316,0.2831834448723762,0.774992113567483,0.6200002249794742
78,1.0e15,"multipoint","algebraic","s3_adapt_rq","none",1,274,"none",1,0.6739993429130323,0.20800000008982886,-0.3496206763541728,0.10900053952678382,0.4759118877206393,-1.5596692940231314,-0.0007159682536402471,0.774992113567483,0.6200002249794742
79,1.0e15,"multipoint","algebraic","s3_adapt_rq","none",8,278,"none",2,0.9836006682188689,0.20800000008982886,-1.6183888608626438,0.038227585312715105,0.48608240837623706,-0.3454092137040266,-0.00019252637540607148,0.7750044449788169,0.6200008616970779
