case_id	system	diagnostic_mode	difficulty	bottleneck	best_interpolator	best_eval_point	worst_deriv_error	max_required_order	prod_solution_count	prod_closest_distance	jacobian_cond	effective_rank	root_sensitivity	sensitivity_nonlinearity	sensitivity_concentration	is_pathological	uq_status	uq_max_cv
cstr_1_0	cstr	direct	hard	cstr_derivative_only_after_direct_trig_failure	aaad_gpr	9.9867	1.0004	9.0000	-1.0000	NaN	NaN	-1.0000	NaN	NaN	NaN	false	skipped	NaN
cstr_1_1em8	cstr	direct	hard	cstr_derivative_only_after_direct_trig_failure	aaad_gpr	9.9867	1.0004	9.0000	-1.0000	NaN	NaN	-1.0000	NaN	NaN	NaN	false	skipped	NaN
crauste_3_1em8	crauste	direct	hard	Derivative error 151.6% at y1(t) order 4; Jacobian cond 1.90e+15	aaad_gpr	12.4833	1.5158	4.0000	2.0000	554.5540	1.9006e+15	35.0000	9.9418e+05	0.6048	0.9241	true	missing	NaN
