system,noise,n_eqs,n_vars,eff_rank,cond_raw,cond_colnorm,cond_truth,improvement_colnorm,improvement_truth,col_norm_min,col_norm_max,col_norm_range_orders
biohydrogenation,1e-08,25,25,25,1.440053e+09,6.810880e+05,2.880253e+08,2114.343,5.000,9.407007e-04,1.162464e+01,4.092
biohydrogenation,0,25,25,25,1.440053e+09,6.810880e+05,2.880253e+08,2114.343,5.000,9.407007e-04,1.162464e+01,4.092
daisy_mamil4,1e-08,32,32,32,1.651915e+06,1.134998e+06,1.651915e+06,1.455,1.000,1.000000e+00,4.537530e+00,0.657
daisy_mamil4,0,32,32,32,1.651915e+06,1.134998e+06,1.651915e+06,1.455,1.000,1.000000e+00,4.537530e+00,0.657
crauste,1e-08,43,43,38,3.666112e+81,3.106344e+17,1.212377e+21,11802014247132757063556027880658786123641913224875871437127155712.000,3023903801909170525080039925788992180898403893243664566059008.000,0.000000e+00,1.908423e+04,NaN
