case_id	source_method_key	source_method_label	target_method_key	target_method_label	seed_primary_role	seed_roles	source_seed_benchmark_rmse	source_seed_max_rel_err	source_seed_fit_objective	target_cold_oracle_rmse	target_cold_selected_rmse	transfer_best_rmse	transfer_selected_rmse	transfer_best_fit_objective	transfer_selected_fit_objective	distance_to_target_oracle	distance_to_target_selected	same_target_oracle	same_target_selected	same_target_any	benchmark_improved_vs_seed	fit_improved_vs_seed	status	reason	transfer_runtime_seconds
seir_3_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	oracle_best	oracle_best	0.010413993845791496	0.029797232166008544	5.988078659516295	0.278964921186605	0.278964921186605	0.010413994062766638	0.010413994062766638	5.98807865951625	5.98807865951625	0.393192342533279	0.393192342533279	false	false	false	false	true	ok		0.020221848
seir_3_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	fit_selected	fit_selected,top_fit_1	0.08109306384385494	0.25865879052803314	5.988078646444696	0.278964921186605	0.278964921186605	0.08109306382897684	0.08109306382897684	5.9880786464445155	5.9880786464445155	0.38738723910986433	0.38738723910986433	false	false	false	true	true	ok		0.057134052
seir_3_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_2	top_fit_2	0.05026623840797537	0.15530497100753082	5.988078649894569	0.278964921186605	0.278964921186605	0.05026623848332059	0.05026623848332059	5.988078649894291	5.988078649894291	0.3824949739189679	0.3824949739189679	false	false	false	false	true	ok		0.017234983
seir_3_1em4	scalar_log	Scalar log-space	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	top_fit_3	top_fit_3	0.047427965634238615	0.1413755522818126	5.988078650888077	0.278964921186605	0.278964921186605	0.04742796136272662	0.04742796136272662	5.988078650886774	5.988078650886774	0.3839863622801919	0.3839863622801919	false	false	false	true	true	ok		0.020476451
seir_3_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best	0.010413993845791496	0.029797232166008544	5.988078659516295	0.038864151232310386	0.050546223087905094	0.010414089541319305	0.010414089541319305	5.988078659516239	5.988078659516239	0.0710097943177025	0.08747850748636506	false	false	false	false	true	ok		0.014047175
seir_3_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	fit_selected	fit_selected,top_fit_1	0.08109306384385494	0.25865879052803314	5.988078646444696	0.038864151232310386	0.050546223087905094	0.07538925195939016	0.07538925195939016	5.988078646162069	5.988078646162069	0.051160126649496394	0.034617822435984914	false	false	false	true	true	ok		0.441378902
seir_3_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_2	top_fit_2	0.05026623840797537	0.15530497100753082	5.988078649894569	0.038864151232310386	0.050546223087905094	0.05026623840797537	0.065635076641264	5.988078649894569	5.988078646851065	0.0161764891684276	0.00039527026866681566	false	true	true	false	true	ok		0.548945078
seir_3_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_3	top_fit_3	0.047427965634238615	0.1413755522818126	5.988078650888077	0.038864151232310386	0.050546223087905094	0.047427965634238615	0.06002954605186038	5.988078650888077	5.988078647420572	0.12406046518046225	0.14034358809320938	false	false	false	false	true	ok		0.466144082
seir_3_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	oracle_best	oracle_best,fit_selected,top_fit_1	0.278964921186605	1.2952807765282912	5.988085785652451	0.010413993845791496	0.08109306384385494	0.23141621310559435	0.23141621310559435	5.988081916048757	5.988081916048757	0.31018904417807025	0.36896803151480234	false	false	false	true	true	ok		1.361848958
seir_3_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	top_fit_2	top_fit_2	0.2796647784333618	1.3011514532730668	5.9880858535683235	0.010413993845791496	0.08109306384385494	0.23184661145057844	0.23184661145057844	5.988081943416277	5.988081943416277	0.31102656554283115	0.3691778279430723	false	false	false	true	true	ok		1.212837196
