problem,method,status,derivative_cap,derivative_order,pool_equations,unknowns,rank,selected_equations,raw_candidates,valid_candidates,raw_nllh,refined_nllh,refinement_status,julia_baseline_nllh,amici_baseline_nllh,total_seconds
Fujita_SciSignal2010,odepe_blocks2,timeout,10,5,36,34,34,34,,0,,,,121734279239.62685,10010.950976253445,935.2819373607635
Sneyd_PNAS2002,odepe_blocks2,timeout,10,1,4,26,4,0,,0,,,,-130.4261000992712,-130.4261000992712,935.3715298175812
Sneyd_PNAS2002,odepe_blocks4,timeout,10,1,8,38,8,0,,0,,,,-130.4261000992712,-130.4261000992712,935.3581790924072
