observable,order,true_val,interp_val,rel_error
y1(t),0,2.987387033749471e+02,2.987387034130107e+02,1.274143704662142e-10
y1(t),1,5.644143241092282e-01,5.644120646948586e-01,4.003113091016081e-06
y1(t),2,1.559020557532028e+00,1.559013717249105e+00,4.387551459744148e-06
y1(t),3,-1.411035793107865e-01,-1.404160460836227e-01,4.872542783974919e-03
y1(t),4,-3.897551282933663e-01,-3.890808024799570e-01,1.730126852626695e-03
y1(t),5,3.527589419755455e-02,-1.711698012506712e-01,5.852316437170210e+00
y1(t),6,9.743877841281746e-02,3.065984684929515e-01,2.146575454733127e+00
_obs_trfn_cos_0_5_sin(t),0,-9.607940325421792e-01,-9.607942901745933e-01,2.681453103818631e-07
_obs_trfn_cos_0_5_sin(t),1,1.386315503694391e-01,1.386321396566895e-01,4.250744139840650e-06
_obs_trfn_cos_0_5_sin(t),2,2.401985081355448e-01,2.401993938447223e-01,3.687404990045642e-06
_obs_trfn_cos_0_5_sin(t),3,-3.465788759235978e-02,-3.465920336446055e-02,3.796457869108723e-05
_obs_trfn_cos_0_5_sin(t),4,-6.004962703388620e-02,-6.005220207363797e-02,4.288186087010888e-05
_obs_trfn_cos_0_5_sin(t),5,8.664471898089946e-03,8.667274255787366e-03,3.234308715384870e-04
_obs_trfn_cos_0_5_sin(t),6,1.501240675847155e-02,1.501907132816115e-02,4.439374576523815e-04
_obs_trfn_cos_0_5_cos(t),0,2.772631007388783e-01,2.772626943396304e-01,1.465753094379771e-06
_obs_trfn_cos_0_5_cos(t),1,4.803970162710896e-01,4.803963384064705e-01,1.411050851990508e-06
_obs_trfn_cos_0_5_cos(t),2,-6.931577518471957e-02,-6.931507660852079e-02,1.007817047295398e-05
_obs_trfn_cos_0_5_cos(t),3,-1.200992540677724e-01,-1.200981039315931e-01,9.576547233444737e-06
_obs_trfn_cos_0_5_cos(t),4,1.732894379617989e-02,1.732781238121946e-02,6.529047434950905e-05
_obs_trfn_cos_0_5_cos(t),5,3.002481351694310e-02,3.002298249604869e-02,6.098358923612396e-05
_obs_trfn_cos_0_5_cos(t),6,-4.332235949044973e-03,-4.330605264160639e-03,3.764072187004222e-04
