case_id,model_name,bucket,classification,selected_via,raw_candidate_count,family_count,primary_conclusion,secondary_conclusion,baseline_combined_rmse,consensus_combined_rmse,synth_combined_rmse,consensus_delta_combined_rmse,synth_delta_combined_rmse,best_fit_vs_truth_gap
seir_2_1em4,seir,both_success / room_to_improve,both_success,preferred,22,16,consensus_helped,candidate_generation_bottleneck,14.092304470895789,1.8100311325850942,1.8100311325850942,12.282273338310695,12.282273338310695,12.282273338310695
brusselator_1_1em4,brusselator,both_success / room_to_improve,both_success,preferred,5,5,raw_pool_too_sparse,,0.03411397119731269,0.03411397119731269,0.03411397119731269,0.0,0.0,0.0
fitzhugh_nagumo_3_1em4,fitzhugh_nagumo,both_success / room_to_improve,both_success,preferred,12,9,consensus_helped,candidate_generation_bottleneck,0.10590224878447692,0.0708913847149801,0.0708913847149801,0.035010864069496814,0.035010864069496814,0.035010864069496814
daisy_mamil3_4_1em4,daisy_mamil3,both_success / room_to_improve,both_success,preferred,6,6,raw_pool_too_sparse,,0.014748757516731962,0.014748757516731962,0.014748757516731962,0.0,0.0,0.0
dc_motor_1_1em4,dc_motor,both_success / controls,both_success,preferred,3,3,raw_pool_too_sparse,,0.10234645114077436,0.10234645114077436,0.10234645114077436,0.0,0.0,0.0
bicycle_model_7_1em4,bicycle_model,both_success / controls,both_success,preferred,3,3,raw_pool_too_sparse,,0.16728225903715424,0.16728225903715424,0.16728225903715424,0.0,0.0,0.0
daisy_mamil3_7_1em4,daisy_mamil3,AMIGO2-only / ODEPE near-miss,a_only,preferred,6,6,synthesis_helped,raw_pool_too_sparse,0.054645898852973586,0.054645898852973586,5.135891603517139e-5,0.0,0.05459453993693841,0.0
fitzhugh_nagumo_2_1em4,fitzhugh_nagumo,AMIGO2-only / ODEPE near-miss,a_only,preferred,12,10,synthesis_helped,,3.2222046068565384,3.2222046068565384,0.014803407490669189,0.0,3.207401199365869,0.0
sirt_treatment_7_1em4,sirt_treatment,AMIGO2-only / ODEPE near-miss,a_only,preferred,20,20,raw_pool_too_sparse,candidate_generation_bottleneck,0.3512929354766121,0.3512929354766121,0.3512929354766121,0.0,0.0,0.28869381877518785
aircraft_pitch_4_1em4,aircraft_pitch,ODEPE-only / contrast,b_only,preferred,3,3,raw_pool_too_sparse,,1.2355560832943067,2.5697385883904547,2.5697385883904547,-1.334182505096148,-1.334182505096148,0.0
