index,singular_value
1,1.816404046543854e+00
2,1.678878037490122e+00
3,1.133472268081329e+00
4,1.096441727920030e+00
5,8.930383994456801e-01
6,8.512709736109796e-01
7,4.570249069653607e-01
8,1.118821615015175e-01
