index,singular_value
1,1.816648777929045e+00
2,1.678703116575792e+00
3,1.133171389810918e+00
4,1.096723274193605e+00
5,8.927741457670206e-01
6,8.516767659226362e-01
7,4.578337453521222e-01
8,1.100770471245187e-01
